Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
BOOK,Da dove è stato estrapolato?,Il bene culturale è tratto dall'opera: 錦絵貼込帖 (Nishikie harikomichō/ Album di stampe a broccato).,錦絵貼込帖 (Nishikie harikomichō/ Album di stampe a broccato),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11148238_MAOV2689_12476%2D15.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677714,HistoricOrArtisticProperty
BOOK,Da dove è stato estrapolato?,Il bene culturale è tratto dall'opera: 錦絵貼込帖 (Nishikie harikomichō/ Album di stampe a broccato).,錦絵貼込帖 (Nishikie harikomichō/ Album di stampe a broccato),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11149286_MAOV2689_12476%2D17.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677715-2,HistoricOrArtisticProperty
BOOK,Da dove è stato estrapolato?,Il bene culturale è tratto dall'opera: 錦絵貼込帖 (Nishikie harikomichō/ Album di stampe a broccato).,錦絵貼込帖 (Nishikie harikomichō/ Album di stampe a broccato),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11152564_MAOV2689_12476%2D34.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677729,HistoricOrArtisticProperty
BOOK,Da dove è stato estrapolato?,Il bene culturale è tratto dall'opera: 錦絵貼込帖 (Nishikie harikomichō/ Album di stampe a broccato).,錦絵貼込帖 (Nishikie harikomichō/ Album di stampe a broccato),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11152608_MAOV2689_12476%2D35.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677730,HistoricOrArtisticProperty
BOOK,Da dove è tratta la pagina?,Il bene culturale è tratto dall'opera: 錦絵貼込帖 (Nishikie harikomichō/ Album di stampe a broccato).,錦絵貼込帖 (Nishikie harikomichō/ Album di stampe a broccato),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11154655_MAOV2689_12476%2D61.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677737,HistoricOrArtisticProperty
BOOK,Da dove è tratta la pagina?,Il bene culturale è tratto dall'opera: 江都の名品錦絵 (Edo no meihin nishikie/ Pregiate stampe a broccato di Edo).,江都の名品錦絵 (Edo no meihin nishikie/ Pregiate stampe a broccato di Edo),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11158657_MAOV2686_12463%2D44.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677744-3,HistoricOrArtisticProperty
BOOK,Da dove è tratta la pagina?,Il bene culturale è tratto dall'opera: 武者絵画帖 (Mushae gajō/ Album di immagini di guerrieri).,武者絵画帖 (Mushae gajō/ Album di immagini di guerrieri),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11171426_MAOV2720%2D04.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677774-0,HistoricOrArtisticProperty
BOOK,Da dove è stato estrapolato?,Il bene culturale è tratto dall'opera: 武者絵画帖 (Mushae gajō/ Album di immagini di guerrieri).,武者絵画帖 (Mushae gajō/ Album di immagini di guerrieri),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11171839_MAOV2720%2D49.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677777-1,HistoricOrArtisticProperty
BOOK,Da dove è stato estrapolato?,Il bene culturale è tratto dall'opera: 武者絵貼込帖 (Mushae harikomichō/ Raccolta di immagini di guerrieri).,武者絵貼込帖 (Mushae harikomichō/ Raccolta di immagini di guerrieri),http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1020724/ICCD11173564_MAOV2699_12447%2D42.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500677787,HistoricOrArtisticProperty
BOOK,Da dove è tratta la pagina?,Il bene culturale è tratto dall'opera: Lars Bo. Documentation complete sur le graveur et son oeuvre.,Lars Bo. Documentation complete sur le graveur et son oeuvre,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007109/ICCD2549143_00186247.jpg,https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800055788,HistoricOrArtisticProperty
